"","id","sample.size","ncase","ncontrol","sex","category","subcategory","unit","group_name","build","consortium","year","population","trait","note","pmid","filename","nsnp","delimiter","header","mr","chr_col","pos_col","oa_col","ea_col","snp_col","pval_col","beta_col","se_col","eaf_col"
"1","finn-b-AB1_AMOEBIASIS",197385,87,197298,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Amoebiasis","AB1_AMOEBIASIS",NA,"finngen_R5_AB1_AMOEBIASIS.gz",16380388,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"2","finn-b-AB1_ANOGENITAL_HERPES_SIMPLEX",213843,891,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Anogenital herpesviral [herpes simplex] infection","AB1_ANOGENITAL_HERPES_SIMPLEX",NA,"finngen_R5_AB1_ANOGENITAL_HERPES_SIMPLEX.gz",16380455,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"3","finn-b-AB1_ARTHROPOD",218792,1450,217342,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Arthropod-borne viral fevers and viral haemorrhagic fevers","AB1_ARTHROPOD",NA,"finngen_R5_AB1_ARTHROPOD.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"4","finn-b-AB1_ASPERGILLOSIS",214903,87,214816,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Aspergillosis","AB1_ASPERGILLOSIS",NA,"finngen_R5_AB1_ASPERGILLOSIS.gz",16380461,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"5","finn-b-AB1_ATYPICAL_CNS_VIRUS",217783,146,217637,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Atypical virus infections of central nervous system","AB1_ATYPICAL_CNS_VIRUS",NA,"finngen_R5_AB1_ATYPICAL_CNS_VIRUS.gz",16380460,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"6","finn-b-AB1_BACTINF_NOS",218637,20977,197660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Bacterial infection, other or unspecified","AB1_BACTINF_NOS",NA,"finngen_R5_AB1_BACTINF_NOS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"7","finn-b-AB1_BACT_BIR_OTHER_INF_AGENTS",218792,1427,217365,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Bacterial, viral and other infectious agents","AB1_BACT_BIR_OTHER_INF_AGENTS",NA,"finngen_R5_AB1_BACT_BIR_OTHER_INF_AGENTS.gz",16380466,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"8","finn-b-AB1_BACT_INTEST_OTH",200006,2708,197298,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other bacterial intestinal infections","AB1_BACT_INTEST_OTH",NA,"finngen_R5_AB1_BACT_INTEST_OTH.gz",16380395,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"9","finn-b-AB1_CANDIDIASIS",216831,2015,214816,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Candidiasis","AB1_CANDIDIASIS",NA,"finngen_R5_AB1_CANDIDIASIS.gz",16380463,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"10","finn-b-AB1_CHLAMYDIA_OTHER",213984,1032,212952,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Other sexually transmitted chlamydial diseases","AB1_CHLAMYDIA_OTHER",NA,"finngen_R5_AB1_CHLAMYDIA_OTHER.gz",16380455,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
"11","finn-b-AB1_CHOLERA",198116,818,197298,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2021,"European","Cholera","AB1_CHOLERA",NA,"finngen_R5_AB1_CHOLERA.gz",16380389,"tab",TRUE,1,0,1,2,3,4,5,6,7,8
